<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20130614,42.1661,42.7234,42.1042,42.4138,76880
VNM,20130613,42.4717,42.4717,41.5550,42.1661,257630
VNM,20130612,42.7772,42.7772,42.4717,42.4717,108800
VNM,20130611,42.1661,42.7772,41.8606,42.7772,164490
VNM,20130610,41.5550,42.4717,41.8606,42.1661,290650
VNM,20130607,41.2495,41.8606,41.2495,41.5550,146880
VNM,20130606,40.9439,41.2495,40.6384,41.2495,188880
VNM,20130605,40.3328,40.9439,40.3328,40.9439,199230
VNM,20130604,40.6384,40.9439,40.3328,40.3328,189940
VNM,20130603,40.9439,41.2495,40.6384,40.6384,129090
VNM,20130531,40.9439,41.5550,40.6384,40.9439,264490
VNM,20130530,40.6384,40.9439,40.3328,40.9439,185110
VNM,20130529,41.2495,41.2495,40.6384,40.6384,231110
VNM,20130528,40.9439,41.2495,40.9439,41.2495,183380
VNM,20130527,40.0273,41.5550,40.3328,40.9439,446120
VNM,20130524,39.7217,40.6384,39.4162,40.0273,381910
VNM,20130523,39.7217,40.3328,39.4162,39.7217,271020
VNM,20130522,39.1106,39.7217,39.1106,39.7217,185010
VNM,20130521,38.4995,40.0273,38.8050,39.1106,599420
VNM,20130520,38.1939,38.4995,37.8884,38.4995,212390
VNM,20130517,38.1939,38.4995,37.8884,38.1939,170120
VNM,20130516,37.8884,38.1939,37.5828,38.1939,154240
VNM,20130515,37.8884,38.1939,37.5828,37.8884,125890
VNM,20130514,37.8884,37.8884,37.2773,37.8884,174290
VNM,20130513,37.8884,37.8884,37.5828,37.8884,51040
VNM,20130510,37.8884,38.1939,37.5828,37.8884,189470
VNM,20130509,37.8884,37.8884,37.5828,37.8884,66390
VNM,20130508,37.8884,37.8884,37.5828,37.8884,47030
VNM,20130507,38.1939,38.4995,37.8884,37.8884,156630
VNM,20130506,37.5828,38.1939,37.5828,38.1939,175190
VNM,20130503,37.2773,37.5828,36.9717,37.5828,91300
VNM,20130502,37.8884,37.8884,36.9717,37.2773,177790
VNM,20130426,38.4995,38.8050,37.8884,37.8884,298840
VNM,20130425,38.1939,38.4995,37.8884,38.4995,103840
VNM,20130424,38.1939,38.1939,37.8884,38.1939,64650
VNM,20130423,37.2773,38.4995,37.5828,38.1939,248200
VNM,20130422,37.5828,37.5828,36.9717,37.2773,169190
VNM,20130418,37.8884,37.8884,36.9717,37.5828,198330
VNM,20130417,36.9717,37.8884,36.9717,37.8884,183330
VNM,20130416,36.6662,37.2773,35.1384,36.9717,579830
VNM,20130415,38.1939,38.1939,36.6662,36.6662,575370
VNM,20130412,39.1106,39.4162,37.8884,38.1939,362540
VNM,20130411,38.4995,39.4162,38.1939,39.1106,526180
VNM,20130410,39.4162,40.6384,38.4995,38.4995,454070
VNM,20130409,38.1939,39.7217,38.1939,39.4162,299320
VNM,20130408,37.5828,38.1939,37.5828,38.1939,173740
VNM,20130405,36.6662,37.5828,36.6662,37.5828,175850
VNM,20130404,37.5828,37.5828,36.6662,36.6662,443960
VNM,20130403,37.2773,37.5828,36.9717,37.5828,350420
VNM,20130402,37.2773,38.1939,37.2773,37.2773,403390
VNM,20130401,35.4440,37.2773,35.7495,37.2773,499290
VNM,20130329,35.1384,35.4440,34.5273,35.4440,395970
VNM,20130328,34.5273,35.1384,34.5273,35.1384,142890
VNM,20130327,34.5273,34.8329,34.2218,34.5273,216610
VNM,20130326,35.1384,35.1384,34.2218,34.5273,265980
VNM,20130325,34.5273,35.1384,34.2218,35.1384,275760
VNM,20130322,33.9162,35.1384,33.9162,34.5273,509210
VNM,20130321,32.6940,34.2218,32.6940,33.9162,697470
VNM,20130320,32.0829,32.6940,32.0829,32.6940,163400
VNM,20130319,32.0829,32.3885,32.0829,32.0829,79440
VNM,20130318,31.7774,32.9996,31.4718,32.0829,383160
VNM,20130315,31.7774,31.7774,31.4718,31.7774,75460
VNM,20130314,31.7774,31.7774,31.4718,31.7774,53170
VNM,20130313,31.7774,32.0829,31.4718,31.7774,136290
VNM,20130312,32.0829,32.0829,31.4718,31.7774,113410
VNM,20130311,31.7774,32.0829,31.4718,32.0829,120190
VNM,20130308,32.0829,32.0829,31.7774,31.7774,96980
VNM,20130307,32.0829,32.0829,31.4718,32.0829,135160
VNM,20130306,31.4718,32.3885,31.7774,32.0829,266470
VNM,20130305,31.1663,31.4718,30.8607,31.4718,207890
VNM,20130304,31.4718,31.7774,31.1663,31.1663,138270
VNM,20130301,31.4718,31.7774,31.4718,31.4718,91290
VNM,20130228,31.1663,31.7774,31.1663,31.4718,161170
VNM,20130227,30.8607,31.4718,30.8607,31.1663,129120
VNM,20130226,31.4718,31.7774,30.8607,30.8607,193660
VNM,20130225,31.1663,31.7774,31.1663,31.4718,167680
VNM,20130222,30.8607,31.7774,30.5552,31.1663,348530
VNM,20130221,31.7774,32.0829,30.8607,30.8607,236050
VNM,20130220,30.8607,32.6940,30.5552,31.7774,466760
VNM,20130219,31.1663,31.4718,30.8607,30.8607,185290
VNM,20130218,31.1663,31.4718,30.8607,31.1663,125690
VNM,20130208,31.1663,31.4718,30.8607,31.1663,78380
VNM,20130207,31.4718,31.4718,31.1663,31.1663,105610
VNM,20130206,30.4024,31.4718,30.4024,31.4718,187250
VNM,20130205,30.8607,31.1663,30.4024,30.4024,432970
VNM,20130204,31.1663,31.1663,30.8607,30.8607,117260
VNM,20130201,30.8607,31.1663,30.4024,31.1663,277990
VNM,20130131,31.4718,31.4718,30.8607,30.8607,169570
VNM,20130130,31.7774,31.7774,31.1663,31.4718,245500
VNM,20130129,32.0829,32.0829,31.1663,31.7774,273610
VNM,20130128,30.4024,32.3885,30.5552,32.0829,657030
VNM,20130125,30.2496,30.5552,30.0968,30.4024,430810
VNM,20130124,29.9441,30.4024,29.9441,30.2496,160380
VNM,20130123,29.4857,30.8607,29.9441,29.9441,250560
VNM,20130122,29.4857,29.7913,29.1802,29.4857,246990
VNM,20130121,29.7913,30.0968,29.4857,29.4857,75950
VNM,20130118,29.9441,30.0968,29.4857,29.7913,206860
VNM,20130117,30.4024,30.4024,29.9441,29.9441,291160
VNM,20130116,30.5552,30.8607,30.2496,30.4024,215810
VNM,20130115,30.4024,30.8607,30.2496,30.5552,192400
VNM,20130114,31.4718,31.4718,30.0968,30.4024,371220
VNM,20130111,30.5552,31.7774,30.8607,31.4718,362160
VNM,20130110,29.1802,30.5552,29.0274,30.5552,593410
VNM,20130109,28.1107,29.4857,28.5691,29.1802,455050
VNM,20130108,26.8885,28.1107,26.8885,28.1107,629670
VNM,20130107,26.8885,27.1941,26.8885,26.8885,135530
VNM,20130104,26.4302,26.8885,26.2774,26.8885,147250
VNM,20130103,26.5830,26.7358,26.2774,26.4302,146370
VNM,20130102,26.8885,26.8885,26.5830,26.5830,199930
VNM,20121228,26.8885,26.8885,26.4302,26.8885,99400
VNM,20121227,26.8885,27.3469,26.7358,26.8885,188780
VNM,20121226,25.9719,27.0413,25.9719,26.8885,212250
VNM,20121225,25.5136,25.9719,25.5136,25.9719,124470
VNM,20121224,25.3608,25.8191,25.3608,25.5136,91700
VNM,20121221,25.6663,25.6663,25.2080,25.3608,109770
VNM,20121220,25.8191,25.8191,25.5136,25.6663,124180
VNM,20121219,25.2599,26.2774,25.8191,25.8191,432340
VNM,20121218,25.4627,25.6664,25.2590,25.2590,254070
VNM,20121217,26.0738,26.0738,25.4627,25.4627,163990
VNM,20121214,25.8701,26.0738,25.6664,26.0738,81460
VNM,20121213,25.8701,26.0738,25.6664,25.8701,110640
VNM,20121212,26.0738,26.2775,25.6664,25.8701,168940
VNM,20121211,26.4812,26.4812,26.0738,26.0738,97810
VNM,20121210,26.4812,26.4812,26.2775,26.4812,82630
VNM,20121207,26.4812,26.6849,26.2775,26.4812,48390
VNM,20121206,26.6849,26.6849,26.2775,26.4812,65680
VNM,20121205,26.4812,26.8886,26.4812,26.6849,81900
